#x                  hoge fuga       piyo
3                       3  0            63
4                       4  0            62
5                       4  1            61
6                       4  3            59
7                       5  4            57
8                       6  7            53
9                       12 6            48
10                      10 6            50
11                      12 6            48
12                      14 4            48
13                      13 5            48
14                      17 2            47
15                      19 2            45
16                      19 1            46
17                      19 0            47
18                      20 0            46
19                      23 1            42
20                      25 2            39
21                      28 1            37
22                      26 2            38
23                      29 1            36
24                      33 2            31
25                      31 3            32
26                      33 3            30
27                      32 4            30
28                      36 4            26
29                      48 4            14
30                      53 4            9
